Nr of publication,Cation 1,,Cation 2,,Cation 3,,Cation 4,,Anion 1,,Anion 2,,Pro- motor,Support 1,,Support 2,,,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"P total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2),%",Basicity,Acidity,Electro-negativity,Anion conductivity,p/n conductivity
,value,mol%,value,mol%,value,mol%,value,mol%,value,mol%,value,mol%,,value,mol%,value,mol%,,,,,,,,,,,,,,,,,,,,
1,Mn,9.2,,,,,,,,,,,,Al,90.8,,,100.0,Impregnation,1073,0.40,0.08,4.8,1.0,0.04,,11.0,,,,45.5,5.0,,,,,
,Cd,4.7,,,,,,,,,,,,Al,95.3,,,100.0,Impregnation,1073,0.40,0.08,4.8,1.0,0.04,,10.0,,,,40.0,4.0,,,,,
,Sn,4.5,,,,,,,,,,,,Al,95.5,,,100.0,Impregnation,1073,0.40,0.08,4.8,1.0,0.04,,8.4,,,,4.8,0.4,,,,,
,Ti,10.4,,,,,,,,,,,,Al,89.6,,,100.0,Impregnation,1073,0.40,0.08,4.8,1.0,0.04,,6.8,,,,44.1,3.0,,,,,
,Pt,2.8,,,,,,,,,,,,Al,97.2,,,100.0,Impregnation,1073,0.40,0.08,4.8,1.0,0.04,,8.0,,,,1.3,0.1,,,,,
,Ce,3.8,,,,,,,,,,,,Al,96.2,,,100.0,Impregnation,1073,0.40,0.08,4.8,1.0,0.04,,5.0,,,,2.0,0.1,,,,,
,Pb,2.6,,,,,,,,,,,,Al,97.4,,,100.0,Impregnation,1073,0.40,0.08,4.8,1.0,0.04,,4.6,,,,43.5,2.0,,,,,
,Bi,2.6,,,,,,,,,,,,Al,97.4,,,100.0,Impregnation,1073,0.40,0.08,4.8,1.0,0.04,,4.4,,,,9.1,0.4,,,,,
,Mo,5.5,,,,,,,,,,,,Al,94.5,,,100.0,Impregnation,1073,0.40,0.08,4.8,1.0,0.04,,4.0,,,,2.5,0.1,,,,,
,Cu,8.0,,,,,,,,,,,,Al,92.0,,,100.0,Impregnation,1073,0.40,0.08,4.8,1.0,0.04,,4.0,,,,0.0,0.0,,,,,
,Sb,4.4,,,,,,,,,,,,Al,95.6,,,100.0,Impregnation,1073,0.40,0.08,4.8,1.0,0.04,,3.5,,,,42.9,1.5,,,,,
,Li,44.6,,,,,,,,,,,,Al,55.4,,,100.0,Impregnation,1073,0.40,0.08,4.8,1.0,0.04,,3.2,,,,6.3,0.2,,,,,
,Mg,18.7,,,,,,,,,,,,Al,81.3,,,100.0,Impregnation,1073,0.40,0.08,4.8,1.0,0.04,,2.0,,,,40.0,0.8,,,,,
2,Pb,20.0,,,,,,,,,,,,Al,80.0,,,,Therm.decomp.,1023,0.50,0.05,10.0,1.0,1.03,90.0,12.1,,11.2,41.1,52.3,6.3,,,,,
,Pb,10.0,,,,,,,,,,,,Al,90.0,,,,Impregnation,973,0.26,0.05,5.0,1.0,0.24,,9.0,,12.2,26.2,38.4,3.5,,,,,
,Pb,10.0,Bi,90.0,,,,,,,,,,,,,,,Impregnation,973,0.25,0.04,6.1,1.0,10.00,,8.0,,14.4,31.8,46.2,3.7,,,,,
,Pb,10.0,Bi,10.0,Sb,80.00,,,,,,,,,,,,,Impregnation,973,0.47,0.03,14.2,1.0,8.70,,12.0,,5.1,39.7,44.8,5.4,,,,,
,Pb,50.0,,,,,,,,,,,,Al,50.0,,,,Impregnation,1023,0.51,0.05,9.8,1.0,4.30,,7.0,,11.2,41.1,52.3,3.7,,,,,
